name,stars,price,city,countryCode,countryName,address,location,url,latitude,longtitude
Duta Hotel & Residence,3,62,Kuala Lumpur,MY,Malaysia,B16-6 Putra Majestik No.2A Jalan Kasipillay Off 2 1/2 Miles Jalan Ipoh,Kuala Lumpur Malaysia,http://dutagardenhotel.com/en/hotel/,3.1761,101.684
Duta Vista Executive Suites,3,88,Kuala Lumpur,MY,Malaysia,No 1 Persiaran Ledang Off Jalan Duta,Kuala Lumpur Malaysia,http://dutaresorts.com/serviced_apartment/dutavista/index.aspx,3.151,101.676
Dynasty Hotel Kuala Lumpur,4,54,Kuala Lumpur,MY,Malaysia,218 Jalan Ipoh,Kuala Lumpur Malaysia,http://www.dynastyhotelkl.com/index.php,3.17195,101.692
Eclipse Guesthouse,1,99999,Kuala Lumpur,MY,Malaysia,No. 55 Jalan Sultan,Kuala Lumpur Malaysia,,3.14282,101.698
Eighty-Eight Inn,2,29,Kuala Lumpur,MY,Malaysia,No 2 (1st Floor) Jalan 1/77B off Changkat Thambi Dollah,Kuala Lumpur Malaysia,http://www.88inn.com.my/,3.1408,101.712
EV World Hotel Bukit Bintang,2,24,Kuala Lumpur,MY,Malaysia,184 Jalan Pudu,Kuala Lumpur Malaysia,http://www.bukitbintanghotel.com/BukitBintang/Budget/EvWorldHotelBukitBintang.html,3.14323,101.708
EV World Hotel Puduraya,1,19,Kuala Lumpur,MY,Malaysia,88 Jalan Pudu,Kuala Lumpur Malaysia,http://www.evhotel.com.my/,3.14555,101.703
EV World Hotel Sri Petaling Kuala Lumpur,2,25,Kuala Lumpur,MY,Malaysia,No.83 Jalan Radin Bagus Business Zone Seri Petaling,Kuala Lumpur Malaysia,http://www.hotels-world.pl/b/map/ev-world-sri-petaling.295402.en.htm,3.06921,101.694
Fahrenheit Suites,4,71,Kuala Lumpur,MY,Malaysia,5th Floor Fahrenheit 88 179 Jalan Bukit Bintang,Kuala Lumpur Malaysia,http://fahrenheitsuites.com/,3.1476,101.713
Fairlane Hospitality myHabitat2,5,91,Kuala Lumpur,MY,Malaysia,No.3 Jalan Aman Off Jalan Tun Razak,Kuala Lumpur Malaysia,http://fairlanehospitality.com/properties/myhabitat2,3.16274,101.72
FB Hotel,1,16,Kuala Lumpur,MY,Malaysia,No.2 Jalan Midah Satu,Kuala Lumpur Malaysia,,3.10279,101.733
Federal Hotel,4,59,Kuala Lumpur,MY,Malaysia,35 Jalan Bukit Bintang,Kuala Lumpur Malaysia,http://www.federalkualalumpur.com/,3.14435,101.709
Feel Like Home Guest House,1,11,Kuala Lumpur,MY,Malaysia,82-1 Amber Businesss Plaza 2 Jalan Jelawat 1 off Jalan Cheras,Kuala Lumpur Malaysia,http://www.i2inn-guesthouse.com/,3.11215,101.716
Fernloft KL @ Chinatown,1,99999,Kuala Lumpur,MY,Malaysia,60A Jalan Hang Kasturi,Kuala Lumpur Malaysia,http://www.fernloft.com/kl.html,3.14381,101.696
First Business Inn,2,31,Kuala Lumpur,MY,Malaysia,72 Jln Dato Haji Eusoff Off Jln Ipoh Damai Complex,Kuala Lumpur Malaysia,http://www.firstbusinessinn.com/,3.16993,101.696
Flamingo by the Lake,4,49,Kuala Lumpur,MY,Malaysia,5 Tasik Ampang Jalan Hulu Kelang,Kuala Lumpur Malaysia,http://www.flamingo.com.my/,3.16237,101.751
Flamingo Hotel Downtown Kuala Lumpur,3,99999,Kuala Lumpur,MY,Malaysia,128 Jalan Pudu,Kuala Lumpur Malaysia,http://www.flamingo.com.my/,3.14446,101.706
Flora Home Stay,1,99999,Kuala Lumpur,MY,Malaysia,2 Jalan 2/16 Pandan Perdana,Kuala Lumpur Malaysia,http://www.florahomestay.com/contact-us,3.11598,101.742
Forever Young Guest House,1,99999,Kuala Lumpur,MY,Malaysia,No. 36C Jalan Tengkat Tong Shin,Kuala Lumpur Malaysia,,3.14622,101.708
Frangipani Home Vacation at Bukit Bintang,2,56,Kuala Lumpur,MY,Malaysia,No 40-4 2nd Floor Jalan Sultan Ismail,Kuala Lumpur Malaysia,http://frangipani.com.my/us.php,3.14815,101.712
Fraser Place Hotel Kuala Lumpur,5,111,Kuala Lumpur,MY,Malaysia,Lot 163 No 10 Jalan Perak,Kuala Lumpur Malaysia,http://kualalumpur.frasershospitality.com/,3.1544,101.709
Frenz Hotel,3,42,Kuala Lumpur,MY,Malaysia,135 Jalan Tuanku Abdul Rahman,Kuala Lumpur Malaysia,http://www.frenzhotel.com.my/location.html,3.15379,101.697
Furama Bukit Bintang,4,67,Kuala Lumpur,MY,Malaysia,136 Jalan Changkat Thambi Dollah,Kuala Lumpur Malaysia,http://www.furama.com/bukitbintang,3.14018,101.71
Golden Palace Hotel Kuala Lumpur,3,35,Kuala Lumpur,MY,Malaysia,174 Jalan Pudu 55100,Kuala Lumpur Malaysia,http://www.palaceofthegoldenhorses.com.my/,3.14297,101.708
Grand Millennium Kuala Lumpur,5,108,Kuala Lumpur,MY,Malaysia,160 Jalan Bukit Bintang,Kuala Lumpur Malaysia,,3.148,101.712
Grand Pacific Hotel Kuala Lumpur,2,45,Kuala Lumpur,MY,Malaysia,Jalan Tun Ismail,Kuala Lumpur Malaysia,http://www.grandpacifichotel.com.my/,3.1718,101.692
Grand Seasons Hotel Kuala Lumpur,4,52,Kuala Lumpur,MY,Malaysia,No 72 Jalan Pahang,Kuala Lumpur Malaysia,http://grandseasonshotel.com/,3.16989,101.698
Green Hut Lodge,1,99999,Kuala Lumpur,MY,Malaysia,48 Tengkat Tong Shin,Kuala Lumpur Malaysia,http://www.thegreenhut.com/,3.14667,101.708
GTower Hotel,5,101,Kuala Lumpur,MY,Malaysia,No 199 Jalan Tun Razak,Kuala Lumpur Malaysia,http://gtowerhotel.com/,3.159,101.72
Harta8 Vacation Home at Saville Residences,3,131,Kuala Lumpur,MY,Malaysia,128 Batu 1 Old Klang Road,Kuala Lumpur Malaysia,http://kualalumpurhotelsreservation.com/,3.1113,101.679
Harta8.com Homestay at Angkasa Bukit Bintang,3,131,Kuala Lumpur,MY,Malaysia,No 16 Jalan Sahabat,Kuala Lumpur Malaysia,http://kualalumpurhotelsreservation.com/,3.14685,101.707
Heritage Station Hotel,2,99999,Kuala Lumpur,MY,Malaysia,Bangunan Stesen Keretapi Jalan Sultan Hishamuddin,Kuala Lumpur Malaysia,http://heritagestationhotelmalaysia.blogspot.com/,3.13983,101.693
Hilton Hotel Kuala Lumpur,5,101,Kuala Lumpur,MY,Malaysia,3 Jalan Stesen Sentral,Kuala Lumpur Malaysia,http://www1.hilton.com/en_US/hi/hotel/KULHIHI-Hilton-Kuala-Lumpur-hotel-/index.do,3.13284,101.685
Holiday Apartment at Mutiara Villa Condominium,4,99999,Kuala Lumpur,MY,Malaysia,28 Tengkat Tong Shin Bukit Bintang,Kuala Lumpur Malaysia,,3.14582,101.707
Holiday Inn Kuala Lumpur Glenmarie,5,76,Shah Alam,MY,Malaysia,1 Jalan Usahawan U1/8 Seksyen U1,Shah Alam Malaysia,http://www.holidayinn.com/hotels/us/en/kuala-lumpur/kulhi/hoteldetail,3.09457,101.577
Hollywood Inn,1,12,Kuala Lumpur,MY,Malaysia,No.52 Jalan Tun H.S. Lee,Kuala Lumpur Malaysia,,3.14454,101.697
Home Inn Cheras,2,23,Kuala Lumpur,MY,Malaysia,28-34 Jalan Manis 3 Taman Segar,Kuala Lumpur Malaysia,http://www.swissinnkualalumpur.com/index.html,3.08951,101.744
Home Vacation at Times Square,4,76,Kuala Lumpur,MY,Malaysia,Berjaya Times Square Serviced Suite East Tower No 1 Jalan Imbi Bukit Bintang,Kuala Lumpur Malaysia,,3.14252,101.711
Home-Zone Boutique Guesthouse,1,33,Kuala Lumpur,MY,Malaysia,55 Jalan Beluntas Medan Damansara,Kuala Lumpur Malaysia,,3.13915,101.656
Homestyle Hotel,3,25,Kuala Lumpur,MY,Malaysia,13 Jalan Rembia Off Tengkat Tong Shin,Kuala Lumpur Malaysia,http://www.homestyle-kl.com,3.14641,101.709
Hostel Cosmopolitan,1,15,Kuala Lumpur,MY,Malaysia,No.73 & 75 Jalan Haji Hussein Off Jalan Raja Muda Abdul Aziz,Kuala Lumpur Malaysia,http://www.hostelcosmopolitan.com/,3.16686,101.699
Hotel 128,1,33,Kuala Lumpur,MY,Malaysia,2A Block 5 Jalan Jalil Jaya 6 Jalil Link,Kuala Lumpur Malaysia,http://128.121.100.110/,3.05909,101.673
Hotel A-One,2,22,Kuala Lumpur,MY,Malaysia,17 Jalan Medan Pasar,Kuala Lumpur Malaysia,http://www.a-onehotel.com/,3.1476,101.696
Hotel Ambassador Kuala Lumpur,1,35,Kuala Lumpur,MY,Malaysia,No. 44 Jalan Sultan Ismail Bukit Bintang,Kuala Lumpur Malaysia,http://www.kuala-lumpur.ws/,3.14722,101.711
Hotel Arenaa Mountbatten,3,13,Kuala Lumpur,MY,Malaysia,No 23 Jalan Tun Perak,Kuala Lumpur Malaysia,http://arenaamountbatten.com.my/,3.14773,101.698
Hotel Calibur,2,45,Kuala Lumpur,MY,Malaysia,45-46 Jalan 5/101C Off Jalan Kaskas Cheras Commercial Centre Taman Cheras,Kuala Lumpur Malaysia,,3.10062,101.74
Hotel Capitol Kuala Lumpur,3,60,Kuala Lumpur,MY,Malaysia,Jalan Bulan Off Jalan Bukit Bintang,Kuala Lumpur Malaysia,http://www.hotelcapitol-kualalumpur.com/ppc/,3.14484,101.71
Hotel China Town 2,2,28,Kuala Lumpur,MY,Malaysia,70-72 Jalan Petaling,Kuala Lumpur Malaysia,http://hotelchinatown2.com/,3.14378,101.698
Hotel China Town Inn,2,18,Kuala Lumpur,MY,Malaysia,52-54 Jalan Petaling,Kuala Lumpur Malaysia,http://www.chinatowninn.com/,3.14396,101.698
Hotel City Kuala Lumpur,2,99999,Kuala Lumpur,MY,Malaysia,366 Jalan Raja Laut,Kuala Lumpur Malaysia,http://www.holidaycity.com/kualalumpurhotels/,3.1653,101.696
Hotel D Olive,1,30,Kuala Lumpur,MY,Malaysia,A-7-G A-8-G Merdeka Place Jalan Merdeka Ampang,Kuala Lumpur Malaysia,,3.13952,101.764
Hotel Equatorial Kuala Lumpur,4,96,Kuala Lumpur,MY,Malaysia,Jalan Sultan Ismail,Kuala Lumpur Malaysia,http://www.equatorial.com/kul/,3.15306,101.71
Hotel Fortuna Kuala Lumpur,2,59,Kuala Lumpur,MY,Malaysia,No 87 Jalan Berangan Off Jalan Sultan Ismail,Kuala Lumpur Malaysia,http://www.fortunakl.com/,3.14701,101.711
Hotel Grand Central Kuala Lumpur,2,30,Kuala Lumpur,MY,Malaysia,63 Jalan Putra Jalan Raja Laut,Kuala Lumpur Malaysia,http://grandseasonshotel.com/,3.16696,101.695
Hotel Grand Continental Kuala Lumpur,3,56,Kuala Lumpur,MY,Malaysia,Jalan Belia Jalan Raja Laut,Kuala Lumpur Malaysia,http://grand-continental-hotel.h-rez.com/,3.16209,101.697
Hotel Grand Crescent,1,21,Kuala Lumpur,MY,Malaysia,No 235 Jalan Tun Sambanthan Brickfields,Kuala Lumpur Malaysia,http://grandseasonshotel.com/,3.12897,101.684
Hotel Grand Orchard,1.5,99999,Kuala Lumpur,MY,Malaysia,141 Jalan Bunus Off Jalan Masjid India,Kuala Lumpur Malaysia,,3.15359,101.698
Hotel Istana,5,85,Kuala Lumpur,MY,Malaysia,73 Jalan Raja Chulan,Kuala Lumpur Malaysia,http://www.hotelistana.com.my/,3.14983,101.71
Hotel Kepong,2,24,Kuala Lumpur,MY,Malaysia,No 2 Jalan Kepong Usah 2 Off Batu 6 1/2,Kuala Lumpur Malaysia,,3.20833,101.653
Hotel Maluri Kuala Lumpur,3,55,Kuala Lumpur,MY,Malaysia,No 1 Jalan Permaisuri,Kuala Lumpur Malaysia,http://www.hotelmaluri.com/,3.12843,101.73
